Rows,Naive,Two,Four,Five,Ten
100,0.010,0.003,0.002,0.001,0.001
200,0.030,0.014,0.008,0.009,0.007
300,0.094,0.049,0.026,0.025,0.022
400,0.222,0.117,0.060,0.055,0.044
500,0.456,0.226,0.117,0.106,0.085
600,0.772,0.393,0.205,0.187,0.155
700,1.224,0.625,0.329,0.294,0.238
800,1.826,0.932,0.489,0.442,0.358
900,2.600,1.330,0.701,0.632,0.503
1000,3.785,1.836,0.964,0.923,0.853
1100,4.765,2.504,1.283,1.150,0.921
1200,6.187,3.285,1.701,1.500,1.215
1300,7.901,4.196,2.172,1.914,1.535
1400,9.890,5.242,2.664,2.386,1.919
1500,12.682,6.567,3.719,3.104,2.883
1600,15.561,8.204,4.309,3.642,2.938
1700,20.076,10.435,5.322,4.585,3.578
1800,23.799,12.268,6.335,5.471,4.376
1900,26.570,13.988,7.348,6.471,5.659
2000,55.484,27.414,16.719,15.807,16.410
